episode,reward,penalty,net_reward,steps,success,response_time_s,rescued,route_efficiency,hard_violations,wasted_actions,blocked_attempts,failed_actions,mean_risk,disaster,policy_loss,value_loss,entropy,entropy_coef,total_loss
197,9.91,0.0,9.91,68,True,136.0,47,4.5,0,5,0,5,0.3455,cyclone,,,,,
198,77.45,0.0,77.45,15,True,30.0,46,0.909,0,1,0,1,0.3749,cyclone,,,,,
199,46.5,0.0,46.5,32,True,64.0,57,3.111,0,0,0,0,0.3475,combined,,,,,
200,38.02,0.0,38.02,37,True,74.0,35,1.688,0,2,0,2,0.3918,tsunami,-0.005684654123615474,0.580746914446354,1.6138612627983093,0.02,0.2524115815758705
201,-49.6,0.0,-49.6,30,True,60.0,64,1.533,8,0,0,0,0.4027,cyclone,,,,,
202,-194.29,0.0,-194.29,100,False,,0,,0,10,0,10,0.5165,combined,,,,,
203,-1386.08,0.0,-1386.08,100,False,,0,,75,16,0,16,0.9174,flood,,,,,
204,71.11,0.0,71.11,11,True,22.0,44,0.889,1,0,0,0,0.3156,wildfire,,,,,
205,-185.08,0.0,-185.08,100,False,,0,,0,14,0,14,0.4208,tsunami,,,,,
206,89.11,0.0,89.11,17,True,34.0,58,1.231,0,0,0,0,0.0,traffic_jam,,,,,
207,-210.7,0.0,-210.7,100,False,,0,,0,19,0,19,0.6004,tsunami,,,,,
208,-81.71,0.0,-81.71,100,False,,0,,0,14,0,14,0.0,road_blockage,-0.0020733651658520103,0.8216113662719726,1.6402574110031127,0.02,0.37592717170715334
209,60.72,0.0,60.72,29,True,58.0,58,1.769,0,0,0,0,0.4261,heavy_rain,,,,,
210,-883.78,0.0,-883.78,100,False,,0,,46,7,0,7,0.5199,cyclone,,,,,
211,61.51,0.0,61.51,20,True,40.0,34,1.357,0,0,0,0,0.0654,traffic_jam,,,,,
212,-234.51,0.0,-234.51,28,True,56.0,71,1.643,19,0,0,0,0.8437,cyclone,,,,,
213,40.33,0.0,40.33,30,True,60.0,32,1.5,2,0,0,0,0.1182,flood,,,,,
214,-59.34,0.0,-59.34,17,True,34.0,57,1.25,9,0,0,0,0.5128,cyclone,,,,,
215,-254.91,0.0,-254.91,47,True,94.0,51,2.4,20,1,0,1,0.3246,tsunami,,,,,
216,-171.69,0.0,-171.69,100,False,,0,,0,17,0,17,0.4298,earthquake,-0.005107972328551114,0.8640128135681152,1.593836752573649,0.02,0.39502170284589133
217,86.8,0.0,86.8,13,True,26.0,69,1.111,0,0,0,0,0.0654,traffic_jam,,,,,
218,34.58,0.0,34.58,65,True,130.0,36,3.167,0,12,0,12,0.0413,landslide,,,,,
219,54.94,0.0,54.94,66,True,132.0,26,2.8,0,7,0,7,0.0,road_blockage,,,,,
220,65.72,0.0,65.72,39,True,78.0,43,2.5,0,1,0,1,0.0321,traffic_jam,,,,,
221,74.74,0.0,74.74,47,True,94.0,74,2.917,0,3,0,3,0.0009,heavy_rain,,,,,
222,39.67,0.0,39.67,47,True,94.0,20,2.833,0,1,0,1,0.118,tsunami,,,,,
223,75.27,0.0,75.27,18,True,36.0,57,1.385,0,0,0,0,0.054,combined,,,,,
224,86.22,0.0,86.22,33,True,66.0,78,2.25,0,0,0,0,0.1562,cyclone,0.0005303457641275599,0.9948120951652527,1.6536057074864705,0.02,0.4648642838001251
225,58.55,0.0,58.55,14,True,28.0,30,1.091,0,0,0,0,0.4457,earthquake,,,,,
226,69.42,0.0,69.42,20,True,40.0,33,1.385,0,0,0,0,0.296,wildfire,,,,,
227,-133.96,0.0,-133.96,100,False,,0,,0,12,0,12,0.3863,earthquake,,,,,
228,42.16,0.0,42.16,45,True,90.0,64,2.571,3,1,0,1,0.0374,landslide,,,,,
229,78.05,0.0,78.05,23,True,46.0,41,1.462,0,0,0,0,0.016,flood,,,,,
230,70.99,0.0,70.99,16,True,32.0,30,1.273,0,0,0,0,0.2949,flood,,,,,
231,81.47,0.0,81.47,20,True,40.0,31,1.071,0,0,0,0,0.0,road_blockage,,,,,
232,2.68,0.0,2.68,18,True,36.0,59,1.625,5,0,0,0,0.3,flood,-0.0017485580407083034,0.7253621459007263,1.5382074236869812,0.02,0.33016836643218994
233,-135.85,0.0,-135.85,100,False,,0,,0,11,0,11,0.228,flood,,,,,
234,85.78,0.0,85.78,16,True,32.0,64,1.0,0,0,0,0,0.0943,tsunami,,,,,
235,32.04,0.0,32.04,14,True,28.0,48,1.0,3,0,0,0,0.2491,wildfire,,,,,
236,73.24,0.0,73.24,13,True,26.0,35,1.429,0,0,0,0,0.3627,flood,,,,,
237,-219.22,0.0,-219.22,100,False,,0,,0,16,0,16,0.5479,tsunami,,,,,
238,71.09,0.0,71.09,30,True,60.0,80,1.846,0,0,0,0,0.3915,cyclone,,,,,
239,60.48,0.0,60.48,25,True,50.0,23,1.636,0,0,0,0,0.2068,cyclone,,,,,
240,92.14,0.0,92.14,12,True,24.0,62,0.917,0,0,0,0,0.0,traffic_jam,-0.009965275662640731,0.7424832622210185,1.5289213498433432,0.02,0.3306979318459829
241,67.5,0.0,67.5,69,True,138.0,60,3.833,0,4,0,4,0.0059,traffic_jam,,,,,
242,72.74,0.0,72.74,15,True,30.0,59,1.3,0,0,0,0,0.4753,flood,,,,,
243,14.05,0.0,14.05,17,True,34.0,38,1.214,3,0,0,0,0.4498,combined,,,,,
244,-1367.47,0.0,-1367.47,100,False,,0,,81,6,0,6,0.5061,wildfire,,,,,
245,66.05,0.0,66.05,10,True,20.0,34,1.0,0,0,0,0,0.7346,flood,,,,,
246,26.37,0.0,26.37,8,True,16.0,23,1.143,2,0,0,0,0.6477,combined,,,,,
247,-152.33,0.0,-152.33,100,False,,0,,0,6,0,6,0.3682,cyclone,,,,,
248,20.15,0.0,20.15,17,True,34.0,64,0.938,4,0,0,0,0.2409,earthquake,-0.004409821449856585,0.6601814985275268,1.4697081883748373,0.02,0.29628677169481915
249,-173.46,0.0,-173.46,100,False,,0,,0,7,0,7,0.5289,earthquake,,,,,
250,74.17,0.0,74.17,19,True,38.0,42,1.545,0,0,0,0,0.2058,tsunami,,,,,
251,32.76,0.0,32.76,16,True,32.0,53,1.0,3,0,0,0,0.2583,earthquake,,,,,
252,72.2,0.0,72.2,21,True,42.0,75,1.357,0,0,0,0,0.5651,tsunami,,,,,
