episode,reward,steps,success,response_time_s,rescued,route_efficiency,hard_violations,wasted_actions,blocked_attempts,failed_actions,mean_risk,disaster,mean_loss,epsilon,gradient_steps
104,-118.05,100,False,,0,,0,17,0,17,0.2424,earthquake,69.6456,0.3636,25
105,-449.48,100,False,,0,,16,5,0,5,0.8097,cyclone,64.5143,0.3573,25
106,-58.27,100,False,,0,,0,12,0,12,0.0,traffic_jam,60.6859,0.351,25
107,-73.81,100,False,,0,,0,16,0,16,0.0251,traffic_jam,68.3524,0.3446,25
108,-888.02,100,False,,0,,49,8,0,8,0.4559,tsunami,64.8887,0.3383,25
109,-43.29,100,False,,0,,0,5,0,5,0.0,road_blockage,71.302,0.332,25
110,-824.59,100,False,,0,,47,6,0,6,0.3579,flood,72.5558,0.3256,25
111,-59.65,100,False,,0,,0,12,0,12,0.0002,flood,75.5086,0.3193,25
112,-197.0,100,False,,0,,0,12,0,12,0.6073,tsunami,73.014,0.313,25
113,-88.63,100,False,,0,,0,9,0,9,0.192,tsunami,70.2192,0.3066,25
114,-202.25,100,False,,0,,0,11,0,11,0.6362,tsunami,72.5844,0.3003,25
115,-29.96,100,False,,0,,0,6,0,6,0.0057,road_blockage,69.1693,0.294,25
116,-110.13,100,False,,0,,0,10,0,10,0.23,tsunami,74.7102,0.2876,25
117,-196.78,100,False,,0,,0,0,0,0,0.813,wildfire,67.863,0.2813,25
118,-42.69,100,False,,0,,0,6,0,6,0.0,traffic_jam,71.7384,0.275,25
119,-128.03,100,False,,0,,0,8,0,8,0.4286,wildfire,67.0085,0.2686,25
120,-35.29,100,False,,0,,0,5,0,5,0.0,road_blockage,72.5964,0.2623,25
121,-38.68,100,False,,0,,0,7,0,7,0.0,road_blockage,71.3481,0.256,25
122,-836.19,100,False,,0,,47,6,0,6,0.4641,wildfire,69.9726,0.2496,25
123,-42.06,100,False,,0,,0,9,0,9,0.0186,flood,68.3246,0.2433,25
124,-49.63,100,False,,0,,0,6,0,6,0.0033,landslide,68.7689,0.237,25
125,-116.05,100,False,,0,,0,7,0,7,0.3631,combined,72.2715,0.2306,25
126,-35.52,100,False,,0,,0,3,0,3,0.0304,traffic_jam,66.5427,0.2243,25
127,-33.85,100,False,,0,,0,3,0,3,0.0214,landslide,68.6978,0.218,25
128,-127.48,100,False,,0,,0,3,0,3,0.4544,cyclone,73.266,0.2116,25
129,-142.9,100,False,,0,,0,8,0,8,0.4168,cyclone,70.4807,0.2053,25
130,-21.3,100,False,,0,,0,2,0,2,0.0008,landslide,75.501,0.199,25
131,-29.19,100,False,,0,,0,1,0,1,0.0255,road_blockage,70.7572,0.1926,25
132,-221.2,100,False,,0,,0,2,0,2,0.7262,combined,78.1427,0.1863,25
133,-99.29,100,False,,0,,0,5,0,5,0.24,tsunami,77.1414,0.18,25
134,-49.52,100,False,,0,,0,2,0,2,0.0,landslide,72.8848,0.1736,25
135,-29.99,100,False,,0,,0,3,0,3,0.0234,landslide,75.3489,0.1673,25
136,-452.35,100,False,,0,,20,3,0,3,0.4006,tsunami,75.0992,0.161,25
137,-259.63,100,False,,0,,8,0,0,0,0.5194,wildfire,74.7917,0.1546,25
138,-138.67,100,False,,0,,0,3,0,3,0.4152,flood,74.7459,0.1483,25
139,-26.74,100,False,,0,,0,3,0,3,0.0,heavy_rain,80.5058,0.142,25
140,-23.81,100,False,,0,,0,2,0,2,0.0,landslide,78.0637,0.1356,25
141,-55.29,100,False,,0,,0,5,0,5,0.0922,earthquake,77.4818,0.1293,25
142,-122.81,100,False,,0,,0,1,0,1,0.2866,tsunami,73.6784,0.123,25
143,-106.7,100,False,,0,,0,1,0,1,0.3973,combined,72.3525,0.1166,25
144,-81.26,100,False,,0,,0,2,0,2,0.2883,earthquake,78.0422,0.1103,25
145,-66.36,100,False,,0,,0,3,0,3,0.0,traffic_jam,78.1698,0.104,25
146,-32.72,100,False,,0,,0,0,0,0,0.0278,tsunami,70.7837,0.0976,25
147,-115.19,100,False,,0,,0,0,0,0,0.3248,combined,73.534,0.0913,25
148,-55.09,100,False,,0,,0,3,0,3,0.1145,wildfire,71.6795,0.085,25
149,-200.01,100,False,,0,,0,0,0,0,0.6353,cyclone,76.2334,0.0786,25
150,-17.88,100,False,,0,,0,0,0,0,0.0,traffic_jam,84.093,0.0723,25
151,-174.84,100,False,,0,,0,4,0,4,0.466,tsunami,79.9224,0.066,25
152,-301.45,100,False,,0,,13,1,0,1,0.3112,flood,80.0833,0.0596,25
153,-119.49,100,False,,0,,0,1,0,1,0.3108,earthquake,80.3978,0.0533,25
154,-191.28,100,False,,0,,0,0,0,0,0.5884,combined,78.4115,0.05,25
155,-90.91,100,False,,0,,0,0,0,0,0.2501,cyclone,81.3994,0.05,25
156,-25.04,100,False,,0,,0,0,0,0,0.0211,heavy_rain,78.7064,0.05,25
157,-13.34,100,False,,0,,0,0,0,0,0.0,landslide,86.7904,0.05,25
158,-166.03,100,False,,0,,0,1,0,1,0.6665,cyclone,79.6607,0.05,25
159,-43.8,100,False,,0,,0,1,0,1,0.0881,earthquake,83.1257,0.05,25
160,-253.87,100,False,,0,,0,0,0,0,0.8458,cyclone,81.8701,0.05,25
161,-208.31,100,False,,0,,7,0,0,0,0.3209,combined,80.942,0.05,25
162,-21.76,100,False,,0,,0,0,0,0,0.0,heavy_rain,83.5623,0.05,25
163,-36.37,100,False,,0,,0,0,0,0,0.0808,flood,82.1688,0.05,25
164,-120.13,100,False,,0,,0,0,0,0,0.4759,wildfire,79.2419,0.05,25
165,-45.94,100,False,,0,,0,0,0,0,0.121,wildfire,78.5029,0.05,25
166,-27.42,100,False,,0,,0,0,0,0,0.0535,earthquake,79.5158,0.05,25
167,-22.36,100,False,,0,,0,2,0,2,0.0,road_blockage,77.465,0.05,25
168,-163.3,100,False,,0,,0,0,0,0,0.5177,earthquake,76.2007,0.05,25
169,-21.17,100,False,,0,,0,0,0,0,0.0117,heavy_rain,78.9164,0.05,25
170,-31.42,100,False,,0,,0,3,0,3,0.0309,heavy_rain,86.9625,0.05,25
171,-20.56,100,False,,0,,0,0,0,0,0.0,traffic_jam,80.4622,0.05,25
172,-16.85,100,False,,0,,0,0,0,0,0.0,road_blockage,79.9902,0.05,25
173,-119.09,100,False,,0,,0,1,0,1,0.4022,flood,81.4613,0.05,25
174,-22.95,100,False,,0,,0,0,0,0,0.0,traffic_jam,85.6612,0.05,25
175,-595.77,100,False,,0,,28,2,0,2,0.5609,tsunami,85.7558,0.05,25
176,-136.18,100,False,,0,,0,1,0,1,0.4533,tsunami,84.4993,0.05,25
177,-51.88,100,False,,0,,0,0,0,0,0.1454,heavy_rain,83.7677,0.05,25
178,-57.91,100,False,,0,,0,1,0,1,0.1549,earthquake,85.8743,0.05,25
179,-270.87,100,False,,0,,0,58,0,58,0.5787,cyclone,79.382,0.05,25
180,-25.46,100,False,,0,,0,1,0,1,0.0,traffic_jam,81.8719,0.05,25
181,-164.34,100,False,,0,,0,12,0,12,0.5069,earthquake,82.5376,0.05,25
182,-25.82,100,False,,0,,0,0,0,0,0.0,heavy_rain,87.7698,0.05,25
183,-21.14,100,False,,0,,0,2,0,2,0.0,road_blockage,86.7124,0.05,25
184,-122.03,100,False,,0,,0,0,0,0,0.5085,wildfire,83.2895,0.05,25
185,-22.92,100,False,,0,,0,0,0,0,0.0,traffic_jam,83.4228,0.05,25
186,-88.61,100,False,,0,,0,2,0,2,0.2696,tsunami,87.06,0.05,25
187,-1207.62,100,False,,0,,67,7,0,7,0.6276,tsunami,79.6834,0.05,25
188,-114.46,100,False,,0,,0,1,0,1,0.3626,heavy_rain,79.25,0.05,25
189,-107.79,100,False,,0,,0,32,0,32,0.1118,landslide,89.7543,0.05,25
190,-37.96,100,False,,0,,0,1,0,1,0.0088,heavy_rain,84.6389,0.05,25
191,-29.65,100,False,,0,,0,0,0,0,0.0345,heavy_rain,90.4782,0.05,25
192,-210.14,100,False,,0,,0,0,0,0,0.7174,tsunami,89.9563,0.05,25
193,-804.95,100,False,,0,,46,0,0,0,0.3579,tsunami,95.0691,0.05,25
194,-111.22,100,False,,0,,0,0,0,0,0.3328,cyclone,88.332,0.05,25
195,-27.33,100,False,,0,,0,0,0,0,0.0511,landslide,87.4879,0.05,25
196,-23.2,100,False,,0,,0,0,0,0,0.0,landslide,89.1279,0.05,25
197,-107.78,100,False,,0,,0,0,0,0,0.4164,cyclone,88.188,0.05,25
198,-143.2,100,False,,0,,0,21,0,21,0.3816,cyclone,93.5867,0.05,25
199,-155.84,100,False,,0,,0,13,0,13,0.504,combined,90.5186,0.05,25
200,-235.15,100,False,,0,,0,3,0,3,0.7932,tsunami,89.4721,0.05,25
201,-838.88,100,False,,0,,45,24,0,24,0.4512,cyclone,85.3372,0.05,25
202,-169.5,100,False,,0,,0,17,0,17,0.4627,combined,94.9571,0.05,25
203,-57.13,100,False,,0,,0,0,0,0,0.1612,flood,92.7229,0.05,25
204,-423.97,100,False,,0,,19,2,0,2,0.4511,wildfire,89.5122,0.05,25
205,-195.74,100,False,,0,,0,0,0,0,0.5086,tsunami,93.9926,0.05,25
206,-21.76,100,False,,0,,0,2,0,2,0.0002,traffic_jam,90.2133,0.05,25
207,-196.5,100,False,,0,,0,3,0,3,0.6509,tsunami,99.0929,0.05,25
208,-22.79,100,False,,0,,0,0,0,0,0.0,road_blockage,95.2639,0.05,25
209,-25.5,100,False,,0,,0,0,0,0,0.0,heavy_rain,89.2958,0.05,25
210,-521.52,100,False,,0,,20,0,0,0,0.713,cyclone,98.5144,0.05,25
211,-16.09,100,False,,0,,0,1,0,1,0.0,traffic_jam,102.0862,0.05,25
212,-708.03,100,False,,0,,28,60,0,60,0.6902,cyclone,99.2715,0.05,25
213,-29.07,100,False,,0,,0,0,0,0,0.0271,flood,98.7455,0.05,25
214,-493.82,100,False,,0,,28,0,0,0,0.2567,cyclone,94.9427,0.05,25
215,-866.43,100,False,,0,,50,0,0,0,0.3471,tsunami,98.5014,0.05,25
216,-113.67,100,False,,0,,0,1,0,1,0.3771,earthquake,106.7189,0.05,25
217,-26.02,100,False,,0,,0,0,0,0,0.0018,traffic_jam,98.1492,0.05,25
218,-25.23,100,False,,0,,0,1,0,1,0.0187,landslide,96.6052,0.05,25
219,-10.57,100,False,,0,,0,0,0,0,0.0,road_blockage,96.2231,0.05,25
220,-23.32,100,False,,0,,0,0,0,0,0.0,traffic_jam,97.736,0.05,25
221,-29.59,100,False,,0,,0,0,0,0,0.0,heavy_rain,101.514,0.05,25
222,-97.36,100,False,,0,,0,0,0,0,0.4109,tsunami,97.5531,0.05,25
223,-62.75,100,False,,0,,0,0,0,0,0.135,combined,93.3177,0.05,25
224,-115.94,100,False,,0,,0,0,0,0,0.3449,cyclone,90.1871,0.05,25
225,-133.91,100,False,,0,,0,1,0,1,0.403,earthquake,94.3682,0.05,25
226,-199.59,100,False,,0,,0,0,0,0,0.6773,wildfire,94.4731,0.05,25
227,-12.28,100,False,,0,,0,0,0,0,0.0,earthquake,95.5845,0.05,25
228,-29.99,100,False,,0,,0,1,0,1,0.0016,landslide,95.4447,0.05,25
229,-20.86,100,False,,0,,0,2,0,2,0.0059,flood,97.2589,0.05,25
230,-135.91,100,False,,0,,0,4,0,4,0.3442,flood,105.5517,0.05,25
231,-15.77,100,False,,0,,0,0,0,0,0.0,road_blockage,104.0357,0.05,25
232,-78.52,100,False,,0,,0,3,0,3,0.2011,flood,106.0486,0.05,25
233,-104.54,100,False,,0,,0,1,0,1,0.271,flood,104.037,0.05,25
234,-49.07,100,False,,0,,0,0,0,0,0.1106,tsunami,99.1524,0.05,25
235,-727.63,100,False,,0,,38,0,0,0,0.5329,wildfire,97.3397,0.05,25
236,-55.78,100,False,,0,,0,0,0,0,0.1188,flood,98.1321,0.05,25
237,-88.7,100,False,,0,,0,0,0,0,0.2024,tsunami,100.6785,0.05,25
238,-219.33,100,False,,0,,0,0,0,0,0.7123,cyclone,106.5607,0.05,25
239,-162.8,100,False,,0,,0,0,0,0,0.5263,cyclone,108.2471,0.05,25
240,-21.37,100,False,,0,,0,0,0,0,0.0,traffic_jam,102.9447,0.05,25
241,-19.78,100,False,,0,,0,0,0,0,0.0,traffic_jam,102.1857,0.05,25
242,-89.75,100,False,,0,,0,1,0,1,0.2922,flood,98.1786,0.05,25
243,-84.42,100,False,,0,,0,2,0,2,0.226,combined,99.907,0.05,25
244,-154.88,100,False,,0,,0,0,0,0,0.5912,wildfire,99.5282,0.05,25
245,-33.49,100,False,,0,,0,0,0,0,0.0305,flood,95.6565,0.05,25
246,-171.13,100,False,,0,,0,0,0,0,0.5953,combined,99.5807,0.05,25
247,-186.86,100,False,,0,,0,0,0,0,0.6268,cyclone,99.7511,0.05,25
248,-154.56,100,False,,0,,0,0,0,0,0.4219,earthquake,101.1398,0.05,25
249,-429.16,100,False,,0,,20,0,0,0,0.4318,earthquake,104.6628,0.05,25
250,-121.33,100,False,,0,,0,0,0,0,0.337,tsunami,109.868,0.05,25
251,-139.19,100,False,,0,,0,0,0,0,0.4162,earthquake,107.5009,0.05,25
252,-219.92,100,False,,0,,0,0,0,0,0.7685,tsunami,106.6679,0.05,25
253,-123.52,100,False,,0,,0,0,0,0,0.3887,earthquake,109.6083,0.05,25
254,-77.31,100,False,,0,,0,0,0,0,0.2449,cyclone,102.6903,0.05,25
255,-121.75,100,False,,0,,0,1,0,1,0.419,combined,101.3031,0.05,25
256,-21.57,100,False,,0,,0,0,0,0,0.0,traffic_jam,109.4117,0.05,25
257,-60.09,100,False,,0,,0,0,0,0,0.1357,earthquake,113.6028,0.05,25
258,-681.76,100,False,,0,,37,0,0,0,0.487,wildfire,107.2163,0.05,25
259,-262.1,100,False,,0,,0,0,0,0,0.946,tsunami,111.9714,0.05,25
260,-226.31,100,False,,0,,0,2,0,2,0.8313,tsunami,107.0088,0.05,25
261,-167.35,100,False,,0,,0,1,0,1,0.5766,tsunami,104.4341,0.05,25
262,-105.96,100,False,,0,,0,0,0,0,0.345,wildfire,109.8291,0.05,25
263,-61.47,100,False,,0,,0,0,0,0,0.1891,earthquake,105.0613,0.05,25
264,-895.92,100,False,,0,,48,0,0,0,0.669,earthquake,103.8853,0.05,25
265,-24.4,100,False,,0,,0,0,0,0,0.0,road_blockage,106.1688,0.05,25
266,-201.16,100,False,,0,,0,0,0,0,0.6931,cyclone,113.1784,0.05,25
267,-31.92,100,False,,0,,0,0,0,0,0.012,landslide,106.7975,0.05,25
268,-19.47,100,False,,0,,0,0,0,0,0.0,traffic_jam,106.8186,0.05,25
269,-19.76,100,False,,0,,0,0,0,0,0.0,road_blockage,122.0163,0.05,25
270,-20.15,100,False,,0,,0,0,0,0,0.0,landslide,114.1298,0.05,25
271,-22.61,100,False,,0,,0,0,0,0,0.0,landslide,112.5844,0.05,25
272,-82.07,100,False,,0,,0,0,0,0,0.2873,combined,116.0017,0.05,25
273,-44.75,100,False,,0,,0,0,0,0,0.1656,earthquake,113.573,0.05,25
274,-201.28,100,False,,0,,0,1,0,1,0.5682,flood,113.2641,0.05,25
275,-593.9,100,False,,0,,33,0,0,0,0.3184,wildfire,114.5819,0.05,25
276,-64.69,100,False,,0,,0,0,0,0,0.1284,landslide,119.8938,0.05,25
277,-164.11,100,False,,0,,0,0,0,0,0.491,wildfire,109.386,0.05,25
278,-27.07,100,False,,0,,0,3,0,3,0.0,road_blockage,108.1026,0.05,25
279,-18.71,100,False,,0,,0,0,0,0,0.0,traffic_jam,107.2908,0.05,25
280,-26.61,100,False,,0,,0,0,0,0,0.0046,flood,105.9015,0.05,25
281,-98.18,100,False,,0,,0,0,0,0,0.2962,combined,104.4726,0.05,25
282,-29.97,100,False,,0,,0,2,0,2,0.0,road_blockage,112.9083,0.05,25
283,-240.02,100,False,,0,,8,2,0,2,0.4427,cyclone,109.0621,0.05,25
284,-180.28,100,False,,0,,6,0,0,0,0.183,tsunami,111.521,0.05,25
285,-140.33,100,False,,0,,0,0,0,0,0.5379,earthquake,107.7387,0.05,25
286,-31.57,100,False,,0,,0,1,0,1,0.0237,flood,109.1604,0.05,25
